rank,asin,title,rating,ratings_count,price_amount,price_currency,price_raw,offers_text,url
1,B00FFEG7PI,"Calvin Klein CKIN2U For Him, Eau de Toilette for Men, Aromatic Fragrance With Notes of Tangelo, Pimiento, Cool Musk’s, Medium",4.6,27940,38124.0,KRW,"KRW 38,124",,https://www.amazon.com/Calvin-Klein-CKIN2U-Toilette-150ml/dp/B00FFEG7PI/ref=zg_bs_g_118457031_d_sccl_1/521-0800558-3650024
2,B01LYCKFOK,"BULLDOG SKINCARE Sensitive Shave Gel for Men, With Willow Herb, 175ml | Shave gel for sensitive skin, helps reduce dry and ti",4.3,2132,3887.0,KRW,"KRW 3,887",,https://www.amazon.com/Bulldog-Sensitive-Shave-Gel-175/dp/B01LYCKFOK/ref=zg_bs_g_118457031_d_sccl_2/521-0800558-3650024
3,B01N5DO2HQ,"PERFUMER'S CHOICE No9 Victor - EDP Aftershave for Men Apple & Bergamot 83ml | Eau de Parfum for Men, Woody Fresh Scent, Black",4.3,18970,18688.0,KRW,"KRW 18,688",,https://www.amazon.com/Perfumers-Choice-Victor-Eau-Toilette/dp/B01N5DO2HQ/ref=zg_bs_g_118457031_d_sccl_3/521-0800558-3650024
4,B07XYNJ6X7,"Uervoton Hair Spray Bottle, Continuous Ultra Fine Mist Water Sprayer, Empty Refillable Bottle for Hairstyling, Salon, Skincar",4.3,17520,8858.0,KRW,"KRW 8,858",,https://www.amazon.com/Uervoton-Continuous-Aerosol-Hairstyling-Cleaning-5-4oz/dp/B07XYNJ6X7/ref=zg_bs_g_118457031_d_sccl_4/521-0800558-3650024
5,B000JCDV32,Cerruti 1881 Femme Eau De Toilette Spray For Women,4.7,21094,19623.0,KRW,"KRW 19,623",,https://www.amazon.com/Cerruti-1881-Femme-Eau-Toilette/dp/B000JCDV32/ref=zg_bs_g_118457031_d_sccl_5/521-0800558-3650024
6,B00M3IFUMK,"ARMAF Club De Nuit Intense Eau de Toilette for Men, 105 ml (Pack of 1)",4.4,75104,63521.0,KRW,"KRW 63,521",,https://www.amazon.com/Armaf-Club-Nuit-Intense-105ml/dp/B00M3IFUMK/ref=zg_bs_g_118457031_d_sccl_6/521-0800558-3650024
7,B00BJ0QHFW,Jimmy Choo Flash Eau de Parfum,4.7,12639,46066.0,KRW,"KRW 46,066",,https://www.amazon.com/Jimmy-Choo-Flash-Parfum-60ml/dp/B00BJ0QHFW/ref=zg_bs_g_118457031_d_sccl_7/521-0800558-3650024
8,B073WDGZ73,"Body Mist By So…? Womens Vanilla Body Mist Fragrance Spray, Travel Size, 100 ml, 1 piece",4.6,7609,3719.0,KRW,"KRW 3,719",,https://www.amazon.com/So-Vanilla-Body-Mist-100/dp/B073WDGZ73/ref=zg_bs_g_118457031_d_sccl_8/521-0800558-3650024
9,B07R84LYWN,"So…? Escapes Womens Gift Set, with Ibiza Dream, Bali Breeze, Mykonos Nights & Majorca Love, Fragrance Spray Set (4 x 50ml)",4.7,7328,29882.0,KRW,"KRW 29,882",,https://www.amazon.com/Escapes-Body-Piece-Womens-Spray/dp/B07R84LYWN/ref=zg_bs_g_118457031_d_sccl_9/521-0800558-3650024
10,B09MQFMFS1,"TonJin Travel Perfume Atomiser Refillable, Small Portable Empty Spray Bottle, Perfume Portable Empty Cologne Refill Pump Disp",4.2,4411,7756.0,KRW,"KRW 7,756",,https://www.amazon.com/Atomiser-Refillable-Portable-Underfill-Atomizer/dp/B09MQFMFS1/ref=zg_bs_g_118457031_d_sccl_10/521-0800558-3650024
