rank,asin,title,rating,ratings_count,price_amount,price_currency,price_raw,offers_text,url
1,B0BZGRCBY4,"eos Natural Shea Better Body Lotion, Fresh & Cozy, 16 fl oz",4.7,74381,9.97,USD,$9.97,,https://www.amazon.com/eos-Lotion-Moisture-Lightweight-Non-Greasy/dp/B0BZGRCBY4/ref=zg_bs_g_11060521_d_sccl_1/143-9463102-5553431
2,B08KT2Y49F,"eos 24H Moisture Shea Better Body Lotion- Pomegranate Raspberry, 16 fl oz",4.7,8875,9.97,USD,$9.97,,https://www.amazon.com/eos-Pomegranate-Raspberry-Lightweight-Non-Greasy/dp/B08KT2Y49F/ref=zg_bs_g_11060521_d_sccl_2/143-9463102-5553431
3,B00F1U0YB4,"Mrs. Meyer's Clean Day, Hand Soap Refill, Lemon Verbena Scent, 33 Fl Oz",4.7,69477,7.61,USD,$7.61,,https://www.amazon.com/Mrs-Meyers-Clean-Refill-Verbena/dp/B00F1U0YB4/ref=zg_bs_g_11060521_d_sccl_3/143-9463102-5553431
4,B0DPHQRLJC,"eos Cashmere Body Wash- Vanilla Cashmere, Creamy Gel with Shea Butter, 16 fl oz",4.7,23095,9.98,USD,$9.98,,https://www.amazon.com/eos-Moisturizing-Nourishing-Phthalate-Sensitive/dp/B0DPHQRLJC/ref=zg_bs_g_11060521_d_sccl_4/143-9463102-5553431
5,B09HHDHXWX,"Amazon Basics Gentle & Mild Clear Liquid Hand Soap Refill, Triclosan-Free, Dermatologist-Tested, pH Balanced, Cruelty-Free, 5",4.6,45749,5.15,USD,$5.15,,https://www.amazon.com/Amazon-Basics-Gentle-Liquid-Triclosan-free/dp/B09HHDHXWX/ref=zg_bs_g_11060521_d_sccl_5/143-9463102-5553431
6,B00MEDOY2G,"Dove Body Wash Body Wash Deep Moisture 30.6 oz Pump, Sulfate Free | Dove Deep Moisture Body Wash hydrates dry skin for 24 hou",4.8,86146,10.99,USD,$10.99,,https://www.amazon.com/Dove-24hr-Lotion-Body-Moisture/dp/B00MEDOY2G/ref=zg_bs_g_11060521_d_sccl_6/143-9463102-5553431
7,B0DB6BQ798,"SheaMoisture African Black Soap Body Wash Calm and clearing body wash 18 Oz | For 24H Visible Moisture for Healthy, Glowing",4.5,4623,11.0,USD,$11.00,,https://www.amazon.com/SheaMoisture-African-clearing-Visible-Moisture/dp/B0DB6BQ798/ref=zg_bs_g_11060521_d_sccl_7/143-9463102-5553431
8,B0B1PDDLGZ,"Naturium The Glow Getter Multi-Oil Body Wash, 16.9 fl oz | Nourishing Gentle Cleanser, Dissolves Impurities, Hydrating Base P",4.6,7550,15.18,USD,$15.18,,https://www.amazon.com/Getter-Multi-Oil-Hydrating-Naturium-Cleanser/dp/B0B1PDDLGZ/ref=zg_bs_g_11060521_d_sccl_8/143-9463102-5553431
9,B07RK4HST7,"CeraVe Daily Moisturizing Lotion, Face and Body Lotion, Skin care, 19oz | Hyaluronic Acid, Lotion For Dry Skin, Skin Barrier",4.7,150316,18.14,USD,$18.14,,https://www.amazon.com/CeraVe-Moisturizing-Lotion-Hyaluronic-Fragrance/dp/B07RK4HST7/ref=zg_bs_g_11060521_d_sccl_9/143-9463102-5553431
10,B081FFRGZB,"Softsoap Antibacterial Liquid Hand Soap, White Tea & Berry Scent, 50 fl oz | Refill Size, Paraben-Free, Phthalate-Free, Bathr",4.6,23234,5.97,USD,$5.97,,https://www.amazon.com/Softsoap-Antibacterial-Liquid-Refill-White/dp/B081FFRGZB/ref=zg_bs_g_11060521_d_sccl_10/143-9463102-5553431
11,B0BT1WL6KY,"method Body Wash, Simply Nourish, 28 fl oz | Soothing Formula, Leaves Skin Feeling Soft & Moisturized, Made Without Parabens,",4.7,13380,12.0,USD,$12.00,,https://www.amazon.com/Method-Simply-Nourish-Paraben-Phthalate/dp/B0BT1WL6KY/ref=zg_bs_g_11060521_d_sccl_11/143-9463102-5553431
12,B09DDD6YGJ,"Dove Body Wash Antibacterial For All Skin Types 30.6 oz Pump, Sulfate Free | Dove Antibacterial Body Wash eliminates 99% of b",4.8,6618,10.97,USD,$10.97,,https://www.amazon.com/Dove-Body-Wash-Care-Protect/dp/B09DDD6YGJ/ref=zg_bs_g_11060521_d_sccl_12/143-9463102-5553431
13,B00SK71SAG,"Dove Sensitive Skin Body Wash, 24hr Lotion-Soft Skin, 30.6 oz | Dove Sensitive Skin Body Wash soothes dry, sensitive skin wit",4.8,63655,10.97,USD,$10.97,,https://www.amazon.com/Dove-24hr-Lotion-Body-Sensitive/dp/B00SK71SAG/ref=zg_bs_g_11060521_d_sccl_13/143-9463102-5553431
