rank,asin,title,rating,ratings_count,price_amount,price_currency,price_raw,offers_text,url
1,B01LYCKFOK,"BULLDOG SKINCARE Sensitive Shave Gel for Men, With Willow Herb, 175ml | Shave gel for sensitive skin, helps reduce dry and ti",4.3,2136,3.38,USD,USD 3.38,,https://www.amazon.com/Bulldog-Sensitive-Shave-Gel-175/dp/B01LYCKFOK/ref=zg_bs_g_118457031_d_sccl_1/261-3283675-3859867
2,B00FFEG7PI,"Calvin Klein CKIN2U For Him, Eau de Toilette for Men, Aromatic Fragrance With Notes of Tangelo, Pimiento, Cool Musk’s, Medium",4.6,27975,27.62,USD,USD 27.62,,https://www.amazon.com/Calvin-Klein-CKIN2U-Toilette-150ml/dp/B00FFEG7PI/ref=zg_bs_g_118457031_d_sccl_2/261-3283675-3859867
3,B01N5DO2HQ,"PERFUMER'S CHOICE No9 Victor - EDP Aftershave for Men Apple & Bergamot 83ml | Eau de Parfum for Men, Woody Fresh Scent, Black",4.3,18976,17.51,USD,USD 17.51,,https://www.amazon.com/Perfumers-Choice-Victor-Eau-Toilette/dp/B01N5DO2HQ/ref=zg_bs_g_118457031_d_sccl_3/261-3283675-3859867
4,B07XYNJ6X7,"Uervoton Hair Spray Bottle, Continuous Ultra Fine Mist Water Sprayer, Empty Refillable Bottle for Hairstyling, Salon, Skincar",4.3,17533,7.7,USD,USD 7.70,,https://www.amazon.com/Uervoton-Continuous-Aerosol-Hairstyling-Cleaning-5-4oz/dp/B07XYNJ6X7/ref=zg_bs_g_118457031_d_sccl_4/261-3283675-3859867
5,B000JCDV32,Cerruti 1881 Femme Eau De Toilette Spray For Women,4.7,21105,14.07,USD,USD 14.07,,https://www.amazon.com/Cerruti-1881-Femme-Eau-Toilette/dp/B000JCDV32/ref=zg_bs_g_118457031_d_sccl_5/261-3283675-3859867
6,B073WDGZ73,"Body Mist By So…? Womens Vanilla Body Mist Fragrance Spray, Travel Size, 100 ml, 1 piece",4.6,7615,2.69,USD,USD 2.69,,https://www.amazon.com/So-Vanilla-Body-Mist-100/dp/B073WDGZ73/ref=zg_bs_g_118457031_d_sccl_6/261-3283675-3859867
7,B00M3IFUMK,"ARMAF Club De Nuit Intense Eau de Toilette for Men, 105 ml (Pack of 1)",4.4,75165,35.73,USD,USD 35.73,,https://www.amazon.com/Armaf-Club-Nuit-Intense-105ml/dp/B00M3IFUMK/ref=zg_bs_g_118457031_d_sccl_7/261-3283675-3859867
8,B07MTK91YF,So…? Unique Womens Vegan Vanilla Candy Body Mist Fragrance Spray 150ml,4.6,1901,4.06,USD,USD 4.06,,https://www.amazon.com/Unique-Vanilla-Candy-Body-150ml/dp/B07MTK91YF/ref=zg_bs_g_118457031_d_sccl_8/261-3283675-3859867
9,B00BJ0QHFW,Jimmy Choo Flash Eau de Parfum,4.7,12644,33.37,USD,USD 33.37,,https://www.amazon.com/Jimmy-Choo-Flash-Parfum-60ml/dp/B00BJ0QHFW/ref=zg_bs_g_118457031_d_sccl_9/261-3283675-3859867
10,B07R84LYWN,"So…? Escapes Womens Gift Set, with Ibiza Dream, Bali Breeze, Mykonos Nights & Majorca Love, Fragrance Spray Set (4 x 50ml)",4.7,7330,8.04,USD,USD 8.04,,https://www.amazon.com/Escapes-Body-Piece-Womens-Spray/dp/B07R84LYWN/ref=zg_bs_g_118457031_d_sccl_10/261-3283675-3859867
11,B00123F02C,"Christina Aguilera Signature Eau de Parfum (50ml) Floral, Fruity & Exotic Scent, Luxury Fragrance for Women",4.6,4300,11.77,USD,USD 11.77,,https://www.amazon.com/Christina-Aguilera-Eau-Parfum-50/dp/B00123F02C/ref=zg_bs_g_118457031_d_sccl_11/261-3283675-3859867
12,B000P20R8I,Britney Spears Fantasy Luxury Fragrance for Women | Britney | Spears | Fantasy | Luxury,4.7,20561,25.7,USD,USD 25.70,,https://www.amazon.com/Britney-Spears-Fantasy-Eau-Parfum/dp/B000P20R8I/ref=zg_bs_g_118457031_d_sccl_12/261-3283675-3859867
13,B09MQFMFS1,"TonJin Travel Perfume Atomiser Refillable, Small Portable Empty Spray Bottle, Perfume Portable Empty Cologne Refill Pump Disp",4.2,4419,6.74,USD,USD 6.74,,https://www.amazon.com/Atomiser-Refillable-Portable-Underfill-Atomizer/dp/B09MQFMFS1/ref=zg_bs_g_118457031_d_sccl_13/261-3283675-3859867
14,B000VON73W,"Calvin Klein - Eau De Toilette CKIN2U - Calvin Klein Women, Ladies Perfume, Women's Perfume, Calvin Klein Perfume, Calvin Kle",4.6,32564,27.62,USD,USD 27.62,,https://www.amazon.com/Calvin-Klein-CKIN2U-Toilette-150ml/dp/B000VON73W/ref=zg_bs_g_118457031_d_sccl_14/261-3283675-3859867
15,B08WR5G8SN,Miss So...? Mini Galore Womens Body fragrance Gift Set 4x50ml,4.6,6588,8.1,USD,USD 8.10,,https://www.amazon.com/Miss-Mini-Galore-Perfume-4X50Ml/dp/B08WR5G8SN/ref=zg_bs_g_118457031_d_sccl_15/261-3283675-3859867
16,B0009OAHEQ,"JOOP! Homme - Eau de Toilette for Men - Woody Fragrance with Notes of Orange Blossom, Tonka Bean Accord and Honey - Medium Lo",4.7,57337,33.71,USD,USD 33.71,,https://www.amazon.com/Joop-Homme-Eau-Toilette-125/dp/B0009OAHEQ/ref=zg_bs_g_118457031_d_sccl_16/261-3283675-3859867
17,B000C1ZFBG,"Versace Blue Jeans Eau De Toilette for Men, 75 ml (Pack of 1)",4.6,19156,21.66,USD,USD 21.66,,https://www.amazon.com/Versus-Blue-Jeans-Eau-Toilette/dp/B000C1ZFBG/ref=zg_bs_g_118457031_d_sccl_17/261-3283675-3859867
18,B08931C1WB,"Toureal Travel Perfume Atomiser Refillable, 8ml Spray Bottle，3Pcs,Pink | Aftershave Fragrance Cologne Decanter, Mini Pocket S",4.5,2417,13.53,USD,USD 13.53,,https://www.amazon.com/Toureal-Atomizers-Refillable-Dispenser-Portable/dp/B08931C1WB/ref=zg_bs_g_118457031_d_sccl_18/261-3283675-3859867
19,B0BX656GMJ,"Bellavita Luxury G.O.A.T. Eau de Parfum | Citrus, Woody Scent profile with Bergamot, Lavender, and Pepper Top notes | 100 ml",4.2,6053,27.06,USD,USD 27.06,,https://www.amazon.com/Bella-Vita-Luxury-Patchouli-Fragrance/dp/B0BX656GMJ/ref=zg_bs_g_118457031_d_sccl_19/261-3283675-3859867
20,B000PY5T16,"BOSS Bottled Aftershave for Him - Woody Scent with Notes of Apple, Cinnamon and Wood - Light Longevity - 100ml",4.5,6170,90.71,USD,USD 90.71,,https://www.amazon.com/Hugo-Boss-Bottled-Homme-Aftershave/dp/B000PY5T16/ref=zg_bs_g_118457031_d_sccl_20/261-3283675-3859867
21,B00F12X4ZU,"Ted Baker Woman Pink EDT, Floral Green Fruity, 100ml | A 100ml full sized long lasting fragrance for her. Fruity floral scent",4.5,1963,13.23,USD,USD 13.23,,https://www.amazon.com/Ted-Baker-Woman-100ml-Clear/dp/B00F12X4ZU/ref=zg_bs_g_118457031_d_sccl_21/261-3283675-3859867
22,B000C1VTK2,CALVIN KLEIN Eternity - After Shave for Men - Woody-Aromatic Fragrance - Nourishes and Cools After Shaving - 100 ml,4.5,5585,27.06,USD,USD 27.06,,https://www.amazon.com/Calvin-Klein-Woody-Aromatic-Fragrance-Nourishes/dp/B000C1VTK2/ref=zg_bs_g_118457031_d_sccl_22/261-3283675-3859867
23,B0746B4718,"Toureal Travel Perfume Atomiser Refillable, 8ml Atomiser Spray Bottle,Black | Empty aftershave dispener, twist up cologne dec",4.6,5414,9.46,USD,USD 9.46,,https://www.amazon.com/MYLL-Perfume-Atomiser-Refillable-Atomizer/dp/B0746B4718/ref=zg_bs_g_118457031_d_sccl_23/261-3283675-3859867
24,B000JL7WQK,"VERA WANG Princess - Eau de Toilette for Her - Fruity & Floral Fragrance with Notes of Lady Apple, Pink Guava and Vanilla - M",4.6,57608,32.48,USD,USD 32.48,,https://www.amazon.com/Vera-Wang-Princess-Toilette-Fragrance/dp/B000JL7WQK/ref=zg_bs_g_118457031_d_sccl_24/261-3283675-3859867
25,B01GONKCVS,Hollister 100 ml Wave EDT Spray for Him,4.6,8354,20.2,USD,USD 20.20,,https://www.amazon.com/Hollister-Wave-Eau-Toilette-Him/dp/B01GONKCVS/ref=zg_bs_g_118457031_d_sccl_25/261-3283675-3859867
26,B000C1UBRO,Calvin Klein Eternity Moment Eau de Parfum Spray for Women,4.6,28121,37.71,USD,USD 37.71,,https://www.amazon.com/Calvin-Klein-Eternity-Moment-Parfum/dp/B000C1UBRO/ref=zg_bs_g_118457031_d_sccl_26/261-3283675-3859867
27,B0CBSMTQJ3,"Rosiya Perfume Atomiser pack of 5pcs Perfume Travel Bottle, 5ML Refillable Perfume Spray Bottle Easy to Refill Empty Atomiser",3.8,2822,8.11,USD,USD 8.11,,https://www.amazon.com/Rosiya-Perfume-Atomiser-Refillable-Handbag/dp/B0CBSMTQJ3/ref=zg_bs_g_118457031_d_sccl_27/261-3283675-3859867
28,B00F12X5YK,"Ted Baker M Eau De Toilette, Fresh Citrus Spicy Scent, For Men, 75ml | Long Lasting EDT Spray for Men and Teens with Mandarin",4.5,1743,13.53,USD,USD 13.53,,https://www.amazon.com/Ted-Baker-M-EDT-75ml/dp/B00F12X5YK/ref=zg_bs_g_118457031_d_sccl_28/261-3283675-3859867
29,B0B357WZZY,"Adidas Victory League Eau de Toilette, Woody Fragrance With Notes of Mandarine, Pear and Cinnamon, Long Lasting Fresh EDT 100",4.5,788,8.03,USD,USD 8.03,,https://www.amazon.com/Victory-Toilette-Fragrance-Mandarine-Cinnamon/dp/B0B357WZZY/ref=zg_bs_g_118457031_d_sccl_29/261-3283675-3859867
30,B0G449WC83,"Afnan 9 PM Night Out Unisex Extrait de Parfum, 3.4 Fl. Oz",4.6,1801,50.08,USD,USD 50.08,,https://www.amazon.com/Afnan-Night-Unisex-Extrait-Parfum/dp/B0G449WC83/ref=zg_bs_g_118457031_d_sccl_30/261-3283675-3859867
31,B0FKD8PXNQ,,,,,,,,
32,B0B1BDWMH1,,,,,,,,
33,B001BKK3LO,,,,,,,,
34,B0GV5G5HVZ,,,,,,,,
35,B0009OAI1S,,,,,,,,
36,B0FCYV8693,,,,,,,,
37,B0086I7AIS,,,,,,,,
38,B0F7YZYP2N,,,,,,,,
39,B01MF8SQGE,,,,,,,,
40,B004E65W36,,,,,,,,
41,B0B92Y18GT,,,,,,,,
42,B07JPZ95ZP,,,,,,,,
43,B0BLGJHQLJ,,,,,,,,
44,B07K196HGH,,,,,,,,
45,B0010MG8NU,,,,,,,,
46,B000M8BE3C,,,,,,,,
47,B0009OAI40,,,,,,,,
48,B073WC6DZL,,,,,,,,
49,B0D7M526YF,,,,,,,,
50,B07WC5V4QN,,,,,,,,
51,B0GVJZS81N,Davidoff Cool Water Eau de Toilette for Men,4.6,53625,33.85,USD,USD 33.85,,https://www.amazon.com/Davidoff-Cool-Water-Toilette-75ml/dp/B0GVJZS81N/ref=zg_bs_g_118457031_d_sccl_1/261-3283675-3859867
52,B01G9K2688,Gucci Bamboo Edp Spray 50ml,4.7,6817,52.8,USD,USD 52.80,,https://www.amazon.com/Gucci-Bamboo-Edp-Spray-50ml/dp/B01G9K2688/ref=zg_bs_g_118457031_d_sccl_2/261-3283675-3859867
53,B000C217SA,Paco by Paco Rabanne Eau de Toilette For Men 100ml,4.2,7801,31.79,USD,USD 31.79,,https://www.amazon.com/Paco-Rabanne-EDT-100/dp/B000C217SA/ref=zg_bs_g_118457031_d_sccl_3/261-3283675-3859867
54,B0773XLFRZ,Dirham Oud 100 Ml,4.2,5842,10.97,USD,USD 10.97,,https://www.amazon.com/Dirham-Oriental-Sandalwood-Ard-Zaafaran/dp/B0773XLFRZ/ref=zg_bs_g_118457031_d_sccl_4/261-3283675-3859867
55,B00RTQWD80,Jimmy Choo Blossom Eau de Parfum,4.7,6811,32.36,USD,USD 32.36,,https://www.amazon.com/Jimmy-Choo-Blossom-Parfum-40ml/dp/B00RTQWD80/ref=zg_bs_g_118457031_d_sccl_5/261-3283675-3859867
56,B00NB5XSV4,"Bulldog Skincare Sensitive After Shave Balm for Men, 100ml | Aftershave balm for sensitive skin, designed to hydrate and soot",4.4,3757,4.54,USD,USD 4.54,,https://www.amazon.com/Bulldog-Sensitive-After-Shave-Balm/dp/B00NB5XSV4/ref=zg_bs_g_118457031_d_sccl_6/261-3283675-3859867
57,B0BT4ZXSZB,"Avon Little Black Dress Eau de Parfum, Oriental and Floral Fragrance - 50ml | Stylish Perfume with Classic Scents, Perfect fo",4.6,319,14.49,USD,USD 14.49,,https://www.amazon.com/Avon-Little-Black-Dress-Parfum/dp/B0BT4ZXSZB/ref=zg_bs_g_118457031_d_sccl_7/261-3283675-3859867
58,B0BL9RXL1K,"Scent Beauty - Dolly Parton, Scent from Above Eau de Parfum - 100 ml",4.6,524,30.81,USD,USD 30.81,,https://www.amazon.com/Dolly-Parton-Scent-Above-Toilette/dp/B0BL9RXL1K/ref=zg_bs_g_118457031_d_sccl_8/261-3283675-3859867
59,B09XLJZ3SK,"Bellavita Luxury Honey oud Eau de Parfum | 20 ml (0.7 fl.oz.) | Travel Size Perfume for Men and Women | Sweet Honey, Bergamot",3.8,3520,13.53,USD,USD 13.53,,https://www.amazon.com/Bella-Vita-Luxury-Perfume-Birthdays/dp/B09XLJZ3SK/ref=zg_bs_g_118457031_d_sccl_9/261-3283675-3859867
60,B0DF85K4N5,Angham by Lattafa for Unisex - 3.4 oz EDP Spray,4.5,8013,27.69,USD,USD 27.69,,https://www.amazon.com/Angham-Eau-Parfum-100ml-Lattafa/dp/B0DF85K4N5/ref=zg_bs_g_118457031_d_sccl_10/261-3283675-3859867
61,B09W18N3GT,Sol de Janeiro Cheirosa 62 Hair & Body Fragrance Mist 90mL/3.0 fl oz. | Travel Size,4.6,1163,25.39,USD,USD 25.39,,https://www.amazon.com/Sol-Janeiro-Brazilian-Crush-Fragrance/dp/B09W18N3GT/ref=zg_bs_g_118457031_d_sccl_11/261-3283675-3859867
