rank,asin,title,rating,ratings_count,price_amount,price_currency,price_raw,offers_text,url
1,B0CS62LY6P,"by Amazon Milk & Honey Hand Soap Refill, 2 x 1000ml",4.3,7080,2.74,USD,USD 2.74,,https://www.amazon.com/Amazon-Milk-Honey-Refill-1000ml/dp/B0CS62LY6P/ref=zg_bs_g_74129031_d_sccl_1/262-7088179-7937141
2,B08JL9KYBV,"Aveeno Skin Relief Moisturising Lotion for Sensitive Skin (1 x 500ml) | With Soothing Triple Oat Complex and Shea Butter, 72-",4.7,21738,9.31,USD,USD 9.31,,https://www.amazon.com/Aveeno-Relief-Moisturising-Soothes-Irritable/dp/B08JL9KYBV/ref=zg_bs_g_74129031_d_sccl_2/262-7088179-7937141
3,B0DP1F2M53,Lynx Fine Fragrance Collection Cherry Spritz Premium Body Spray 150 ml,4.6,3150,4.74,USD,USD 4.74,,https://www.amazon.com/Lynx-Fragrance-Collection-Deodorant-freshness/dp/B0DP1F2M53/ref=zg_bs_g_74129031_d_sccl_3/262-7088179-7937141
4,B07CHPWFXK,"CeraVe Face Care & Body Moisturiser for Dry to Very Dry Skin, 454g | Rich Moisturising Cream with Hyaluronic Acid & 3 Essenti",4.6,62521,37.58,USD,USD 37.58,,https://www.amazon.com/CeraVe-Face-Care-Body-Moisturiser/dp/B07CHPWFXK/ref=zg_bs_g_74129031_d_sccl_4/262-7088179-7937141
5,B00129XP8M,"Bio-Oil Skincare Oil for Scars and Stretch Marks, 200ml | Clinically proven to help improve scars and stretch marks, fast-abs",4.7,54352,20.31,USD,USD 20.31,,https://www.amazon.com/Bio-Oil-Skincare-Scars-Stretch-Marks/dp/B00129XP8M/ref=zg_bs_g_74129031_d_sccl_5/262-7088179-7937141
6,B0176G84D0,"Nivea Cashmere & Cotton Oil Shower Gel (250ml), Body Wash with Vitamin C, E, and Precious Oils, Protects Skin from Drying Out",4.7,4181,1.12,USD,USD 1.12,,https://www.amazon.com/Nivea-Cashmere-Indulgent-Moisture-Shower/dp/B0176G84D0/ref=zg_bs_g_74129031_d_sccl_6/262-7088179-7937141
7,B00D4R55W4,"Carex 2 Hour Protection Antibacterial Moisture Hand Wash, Boosted Moisturising Action, Added Vitamin E for Soft Hands, Bulk B",4.8,4477,6.77,USD,USD 6.77,,https://www.amazon.com/Carex-Liquid-Soap-Moisture-250ml/dp/B00D4R55W4/ref=zg_bs_g_74129031_d_sccl_7/262-7088179-7937141
8,B07BN1ZNBL,"Salt of the Earth Natural Deodorant Roll On - Lavender & Vanilla - 75ml | Long-lasting Protection, 100% Natural Origin Ingred",4.3,12905,6.31,USD,USD 6.31,,https://www.amazon.com/Salt-Earth-Natural-Lavender-Vanilla/dp/B07BN1ZNBL/ref=zg_bs_g_74129031_d_sccl_8/262-7088179-7937141
9,B00DWVMQ42,"Mitchum Women Triple Odor Defense 48HR Protection Deodorant Spray & Antiperspirant (200ml), Powder Fresh",4.6,3402,7.44,USD,USD 7.44,,https://www.amazon.com/Mitchum-Protection-Deodorant-Antiperspirant-Dermatologist/dp/B00DWVMQ42/ref=zg_bs_g_74129031_d_sccl_9/262-7088179-7937141
10,B071ZZ17DS,"Baylis & Harding Signature Luxury Hand Wash 500ml 3 pack | Jasmine & Apple Blossom, Vegan Friendly, Made in UK",4.6,24379,5.08,USD,USD 5.08,,https://www.amazon.com/Baylis-Harding-Jasmine-Blossom-Anti-Bacterial/dp/B071ZZ17DS/ref=zg_bs_g_74129031_d_sccl_10/262-7088179-7937141
