rank,asin,title,rating,ratings_count,price_amount,price_currency,price_raw,offers_text,url
71,B00J4YYFYA,Q-tips Cotton Swabs For Hygiene and Beauty Care Original Cotton Swab Made With 100% Cotton 750 Count,4.8,19594,5.25,USD,$5.25,,https://www.amazon.com/Q-tips-Cotton-Hygiene-Beauty-Original/dp/B00J4YYFYA/ref=zg_bs_g_beauty_d_sccl_21/146-9206013-3411424
72,B0G1VBDXYF,Luxe Color Changing Foundation – Medium,3.9,6640,15.99,USD,$15.99,,https://www.amazon.com/Luxe-Color-Changing-Foundation-Medium/dp/B0G1VBDXYF/ref=zg_bs_g_beauty_d_sccl_22/146-9206013-3411424
73,B0F3J6W5KW,"e.l.f. Sheer For It Blush Tint, Cherry Cola | Multi-Use, Long-Lasting Lip & Cheek Makeup, Creates A Natural Flush Finish, Veg",4.4,10369,5.79,USD,$5.79,,https://www.amazon.com/l-f-Multi-Use-Long-Lasting-Creates-Cruelty-Free/dp/B0F3J6W5KW/ref=zg_bs_g_beauty_d_sccl_23/146-9206013-3411424
74,B0D2Z3GGCY,medicube Capsule Cream with Deep Vitamin C for Radiance | Liposome Vitamin C Golden Capsule for Radiance & Firm-Looking Skin,4.6,26834,19.9,USD,$19.90,,https://www.amazon.com/medicube-Liposome-Radiance-Firm-Looking-Hydrating/dp/B0D2Z3GGCY/ref=zg_bs_g_beauty_d_sccl_24/146-9206013-3411424
75,B0BXTS6L35,"Amazon Essentials Epsom Salt Soak, Magnesium Sulfate USP, 3 Pound, 1-Pack (Previously Amazon Basics)",4.8,17256,3.35,USD,$3.35,,https://www.amazon.com/Amazon-Basics-Magnesium-Sulfate-1-Pack/dp/B0BXTS6L35/ref=zg_bs_g_beauty_d_sccl_25/146-9206013-3411424
76,B09RG8Q3C3,"Wet Brush Original Detangler Hair Brush, Sky, For All Hair Textures | Ultra-Soft IntelliFlex Bristles Detangle Wet, Dry & Dam",4.7,78068,6.6,USD,$6.60,,https://www.amazon.com/Wet-Brush-Original-Detangler-IntelliFlex/dp/B09RG8Q3C3/ref=zg_bs_g_beauty_d_sccl_26/146-9206013-3411424
77,B09M7SPFSJ,"Ivory Body Wash, Designed for the Whole Family, Gentle Formula, Free of Dyes Heavy Perfumes Parabens Phthalates & Silicones,",4.8,20538,6.99,USD,$6.99,,https://www.amazon.com/Designed-Perfumes-Parabens-Phthalates-Silicones/dp/B09M7SPFSJ/ref=zg_bs_g_beauty_d_sccl_27/146-9206013-3411424
78,B06XB43LPM,"Cutex Nail Polish Remover, Strength Shield, Leaves Nails Looking Healthy, Contains Vitamins E, B5 & Hydrolyzed Silk, 6.76 Fl",4.8,21991,2.97,USD,$2.97,,https://www.amazon.com/Cutex-strength-shield-Polish-Remover/dp/B06XB43LPM/ref=zg_bs_g_beauty_d_sccl_28/146-9206013-3411424
79,B0787GLBMV,"Schick Hydro Silk Touch-Up Dermaplane Razor for Women Face, 3 ct | 3-in-1 dermaplaning tool, Removes peach fuzz, Exfoliating",4.6,200308,5.5,USD,$5.50,,https://www.amazon.com/Schick-Hydro-Silk-Touch-Up-Razor/dp/B0787GLBMV/ref=zg_bs_g_beauty_d_sccl_29/146-9206013-3411424
80,B0DK4Y2YP3,"celimax The Vita A Retinal Shot Tightening Booster (0.51 fl.oz) | 0.1% Retinal, 3% Matryxyl, High-Strength Retinoid, Anti Agi",4.4,24487,18.05,USD,$18.05,,https://www.amazon.com/celimax-Tightening-Liposomized-Matryxyl-Minimizer/dp/B0DK4Y2YP3/ref=zg_bs_g_beauty_d_sccl_30/146-9206013-3411424
81,B004BD107O,,,,,,,,
82,B0BRMYHMS5,,,,,,,,
83,B01I70RA8E,,,,,,,,
84,B00I69SEK0,,,,,,,,
85,B0CWPKWPRJ,,,,,,,,
86,B0014CZ16Q,,,,,,,,
87,B091D7T4N8,,,,,,,,
88,B000YACKO0,,,,,,,,
89,B0BBBSMV94,,,,,,,,
90,B09SP2XHKT,,,,,,,,
91,B0B9CHS3LR,,,,,,,,
92,B0BFQ9RD5B,,,,,,,,
93,B0D7XXQYNH,,,,,,,,
94,B099FK66CL,,,,,,,,
95,B004Y9GTOO,,,,,,,,
96,B0B6CMT476,,,,,,,,
97,B0107QPFBU,,,,,,,,
98,B0BLXZ4YBJ,,,,,,,,
99,B0054LHI5A,,,,,,,,
100,B084MVWG1F,,,,,,,,
