rank,asin,title,rating,ratings_count,price_amount,price_currency,price_raw,offers_text,url
63,B06Y15D1LH,"SKIN1004 [Hudson's Pick] Madagascar Centella Ampoule, Korean Face Serum with Centella Asiatica for Hydrating & Moisturizing,",4.7,9461,16.9,USD,$16.90,,https://www.amazon.com/Skin1004-Madagascar-Centella-Asiatica-Ampoule/dp/B06Y15D1LH/ref=zg_bs_g_11060711_d_sccl_13/145-7676238-3458951
64,B0F4GPMC2M,"Reduces Fine Lines and Wrinkles in 6 weeks or Less, CLEAN SKIN CLUB Healthy Aging Clean Towels® XL, Disposable Face Towels, X",4.5,6052,17.95,USD,$17.95,,https://www.amazon.com/Healthy-Towels%C2%AE-Wrinkles-Softness-Disposable/dp/B0F4GPMC2M/ref=zg_bs_g_11060711_d_sccl_14/145-7676238-3458951
65,B007M81B4M,"Olay Face Moisturizer, Regenerist Micro-Sculpting Cream for Women, Fragrance-Free - Anti-Aging, Anti-Wrinkle, Firming Skin Ca",4.6,30196,23.94,USD,$23.94,,https://www.amazon.com/Anti-Aging-Moisturizer-Olay-Micro-Sculpting-Fragrance-Free/dp/B007M81B4M/ref=zg_bs_g_11060711_d_sccl_15/145-7676238-3458951
66,B07FPT52DY,"Peach Slices - Acne Spot Dots (30 ct) - Hydrocolloid Pimple Patches for Face - Absorb Gunk, Protect Picking & Support Healing",4.4,18406,4.88,USD,$4.88,,https://www.amazon.com/Peach-Slices-Hydrocolloid-Breakouts-Cruelty-Free/dp/B07FPT52DY/ref=zg_bs_g_11060711_d_sccl_16/145-7676238-3458951
67,B082G1PXB5,"Thayers Blemish Clearing Acne Pads, Salicylic Acid Acne Treatment for Face, Pore Reducing, Exfoliating, and Soothing Skincare",4.6,7516,9.97,USD,$9.97,,https://www.amazon.com/Clearing-Salicylic-Treatment-Soothing-Non-Stripping/dp/B082G1PXB5/ref=zg_bs_g_11060711_d_sccl_17/145-7676238-3458951
68,B099N3NM61,"Cetaphil Gentle Cleanser, Hydrating Face Wash, Sensitive Skin, 20oz | Soap-Free, Non-Foaming, Moisturizes While Cleansing, Se",4.7,15786,11.89,USD,$11.89,,https://www.amazon.com/CETAPHIL-Hydrating-Sensitive-Fragrance-Non-Foaming/dp/B099N3NM61/ref=zg_bs_g_11060711_d_sccl_18/145-7676238-3458951
69,B0864QL8CM,"Amazon Basics Makeup Remover Wipes, Formulated without Fragrance and Alcohol-Free, Gentle Cleansing, Removes Waterproof Masca",4.4,16793,7.9,USD,$7.90,,https://www.amazon.com/Amazon-Basics-Formulated-Alcohol-Free-Dermatologist/dp/B0864QL8CM/ref=zg_bs_g_11060711_d_sccl_19/145-7676238-3458951
70,B0FX418XT8,"Arencia Vitamin C Booster Shot Serum with Glutathione, Niacinamide and Vitamin E for Dark Spot Care, Fine Lines & Wrinkles, G",4.4,3070,18.81,USD,$18.81,,https://www.amazon.com/Arencia-Glutathione-Niacinamide-Wrinkles-Skincare/dp/B0FX418XT8/ref=zg_bs_g_11060711_d_sccl_20/145-7676238-3458951
71,B0F8P3GXXH,"Cliganic Face Towels XL, Disposable Makeup Remover, Soft Dry Wipes, 50 ct | Ultra-Absorbent, Gentle Facial Cloths for All Ski",4.7,2538,9.99,USD,$9.99,,https://www.amazon.com/Cliganic-Towels-Disposable-Ultra-Absorbent-Hypoallergenic/dp/B0F8P3GXXH/ref=zg_bs_g_11060711_d_sccl_21/145-7676238-3458951
72,B0CLLV2T1P,"Anua Niacinamide 10 + TXA 4 Serum, Korean Skincare, 1.01 fl.oz | Dark Spot Care, Hyaluronic Acid, Tranexamic Acid, Lightweigh",4.5,16802,21.85,USD,$21.85,,https://www.amazon.com/Niacinamide-Serum-Korean-Skincare-fl-oz/dp/B0CLLV2T1P/ref=zg_bs_g_11060711_d_sccl_22/145-7676238-3458951
73,B07RW4CHC3,"DRMTLGY Universal Tinted Moisturizer SPF 46, Dewy Tinted Sunscreen",4.1,35871,31.0,USD,$31.00,,https://www.amazon.com/DRMTLGY-Anti-Aging-Moisturizer-Foundation-Protection/dp/B07RW4CHC3/ref=zg_bs_g_11060711_d_sccl_23/145-7676238-3458951
74,B00LO1DNXU,La Roche-Posay Effaclar Medicated Acne Face Wash with 2% Salicylic Acid | 2% salicylic acid cleanser with LHA and glycerin. O,4.6,19526,18.99,USD,$18.99,,https://www.amazon.com/Roche-Posay-Effaclar-Medicated-Acne-Cleanser/dp/B00LO1DNXU/ref=zg_bs_g_11060711_d_sccl_24/145-7676238-3458951
75,B077RTL1HJ,"Illiyoon Ceramide Ato Concentrate Cream | Moisturizer for Dry & Sensitive Skin, 100hr Lasting Hydration, For Face & Body, Gen",4.7,8077,24.99,USD,$24.99,,https://www.amazon.com/Pacific-illiyoon-Ceramide-Concentrate-Moisturizer/dp/B077RTL1HJ/ref=zg_bs_g_11060711_d_sccl_25/145-7676238-3458951
76,B008C13146,"Maybelline Dream Fresh Skin Hydrating BB cream, 8-in-1 Skin Perfecting Beauty Balm with Broad Spectrum SPF 30, Sheer Tint Cov",4.5,21403,7.99,USD,$7.99,,https://www.amazon.com/Maybelline-Dream-Fresh-Medium-Packaging/dp/B008C13146/ref=zg_bs_g_11060711_d_sccl_26/145-7676238-3458951
77,B09SQFPLC9,"PanOxyl Acne Treatment Bar with 10% Benzoyl Peroxide, Maximum Strength Bar Soap for Face, Chest and Back, Benzoyl Peroxide So",4.7,6835,9.47,USD,$9.47,,https://www.amazon.com/PanOxyl-Treatment-Soap-Free-Whiteheads-Blackheads/dp/B09SQFPLC9/ref=zg_bs_g_11060711_d_sccl_27/145-7676238-3458951
78,B00F97FHAW,"CeraVe AM Oil Face Moisturizer Lotion, Sunscreen for Face, SPF 30, 3oz",4.5,97853,14.97,USD,$14.97,,https://www.amazon.com/CeraVe-Facial-Moisturizing-Lotion-AM/dp/B00F97FHAW/ref=zg_bs_g_11060711_d_sccl_28/145-7676238-3458951
79,B07YLJPMC3,"CeraVe Foaming Acne Cream Cleanser, Face Wash with 4% Benzoyl Peroxide, 5oz | Skin Care, Hyaluronic Acid, Niacinamide, Facial",4.6,35787,14.97,USD,$14.97,,https://www.amazon.com/CeraVe-Treatment-Hyaluronic-Niacinamide-Sensitive/dp/B07YLJPMC3/ref=zg_bs_g_11060711_d_sccl_29/145-7676238-3458951
80,B00M8G8WKY,"St. Ives Blackhead Clearing Face Scrub, Clears Blackheads & Unclogs Pores, Green Tea & Bamboo, Salicylic Acid Acne Treatment",4.6,21727,2.49,USD,$2.49,,https://www.amazon.com/St-Ives-Blackhead-Clearing-Scrub/dp/B00M8G8WKY/ref=zg_bs_g_11060711_d_sccl_30/145-7676238-3458951
